ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0001,爱,愛,ài,V,1,18,ài,爱,,愛|爱[ai4]
L1-0002,爱好,愛好,àihào,V/N,1,21,àihào,爱好,,愛好|爱好[ai4 hao4]
L1-0003,八,八,bā,Num,1,68,bā,八,,八|八[ba1]
L1-0004,爸爸|爸,爸爸|爸,bàba|bà,N,1,83,bàba|bà,爸爸｜爸,"[{""Simplified"": ""爸爸"", ""Pinyin"": ""bàba"", ""POS"": ""N"", ""Traditional"": ""爸爸"", ""CEDICT"": ""爸爸|爸爸[ba4 ba5]""}, {""Simplified"": ""爸"", ""Pinyin"": ""bà"", ""POS"": ""N"", ""Traditional"": ""爸"", ""CEDICT"": ""爸|爸[ba4]""}]",爸爸|爸爸[ba4 ba5]
L1-0005,吧,吧,ba,Aux,1,89,ba,吧,,吧|吧[ba5]
L1-0006,白,白,bái,Adj,1,91,bái,白（形）,,白|白[bai2]
L1-0007,白天,白天,báitiān,N,1,98,báitiān,白天,,白天|白天[bai2 tian1]
L1-0008,百,百,bǎi,Num,1,99,bǎi,百,,百|百[bai3]
L1-0009,班,班,bān,N/M,1,119,bān,班,,班|班[ban1]
L1-0010,半,半,bàn,Num,1,141,bàn,半,,半|半[ban4]
L1-0011,半年,半年,bàn nián,,1,147,bàn nián,半年,,半年|半年[ban4 nian2]
L1-0012,半天,半天,bàntiān,,1,149,bàntiān,半天,,半天|半天[ban4 tian1]
L1-0013,帮,幫,bāng,V,1,161,bāng,帮,,幫|帮[bang1]
L1-0014,帮忙,幫忙,bāngmáng,,1,162,bāng∥máng,帮忙,,幫忙|帮忙[bang1 mang2]
L1-0015,包,包,bāo,N/M/V,1,172,bāo,包,,包|包[bao1]
L1-0016,包子,包子,bāozi,N,1,181,bāozi,包子,,包子|包子[bao1 zi5]
L1-0017,杯,杯,bēi,M,1,255,bēi,杯,,杯|杯[bei1]
L1-0018,杯子,杯子,bēizi,N,1,256,bēizi,杯子,,杯子|杯子[bei1 zi5]
L1-0019,北,北,běi,N,1,268,běi,北,,北|北[bei3]
L1-0020,北边,北邊,běibian,N,1,269,běibian,北边,,北邊|北边[bei3 bian1]
L1-0021,北京,北京,Běijīng,N,1,273,Běijīng,北京,,北京|北京[Bei3 jing1]
L1-0022,本,本,běn,M,1,298,běn,本（量）,,本|本[ben3]
L1-0023,本子,本子,běnzi,N,1,317,běnzi,本子,,本子|本子[ben3 zi5]
L1-0024,比,比,bǐ,Prep/V,1,332,bǐ,比,,比|比[bi3]
L1-0025,别,別,bié,Adv,1,455,bié,别（副）,,別|别[bie2]
L1-0026,别的,別的,biéde,Pron,1,457,biéde,别的,,別的|别的[bie2 de5]
L1-0027,别人,別人,biérén,Pron,1,460,bié·rén,别人,,別人|别人[bie2 ren5]
L1-0028,病,病,bìng,N/V,1,487,bìng,病,,病|病[bing4]
L1-0029,病人,病人,bìngrén,N,1,492,bìngrén,病人,,病人|病人[bing4 ren2]
L1-0030,不大,不大,bù dà,,1,524,bú dà,不大,,不大|不大[bu4 da4]
L1-0031,不对,不對,bùduì,Adj,1,528,búduì,不对,,不對|不对[bu4 dui4]
L1-0032,不客气,不客氣,bù kèqì,,1,534,bú kèqì,不客气,,不客氣|不客气[bu4 ke4 qi5]
L1-0033,不用,不用,bùyòng,Adv,1,554,búyòng,不用,,不用|不用[bu4 yong4]
L1-0034,不,不,bù,Adv,1,573,bù,不,,不|不[bu4]
L1-0035,菜,菜,cài,N,1,695,cài,菜,,菜|菜[cai4]
L1-0036,茶,茶,chá,N,1,777,chá,茶,,茶|茶[cha2]
L1-0037,差,差,chà,V/Adj,1,791,chà,差,,差|差[cha4]
L1-0038,常,常,cháng,Adv,1,836,cháng,常,,常|常[chang2]
L1-0039,常常,常常,chángcháng,Adv,1,837,chángcháng,常常,,常常|常常[chang2 chang2]
L1-0040,唱,唱,chàng,V,1,866,chàng,唱,,唱|唱[chang4]
L1-0041,唱歌,唱歌,chànggē,,1,867,chàng∥gē,唱歌,,唱歌|唱歌[chang4 ge1]
L1-0042,车,車,chē,N,1,897,chē,车,,車|车[che1]
L1-0043,车票,車票,chēpiào,N,1,905,chēpiào,车票,,車票|车票[che1 piao4]
L1-0044,车上,車上,chē shang,,1,906,chē shang,车上,,
L1-0045,车站,車站,chēzhàn,N,1,912,chēzhàn,车站,,車站|车站[che1 zhan4]
L1-0046,吃,吃,chī,V,1,1014,chī,吃,,吃|吃[chi1]
L1-0047,吃饭,吃飯,chīfàn,,1,1016,chī∥fàn,吃饭,,吃飯|吃饭[chi1 fan4]
L1-0048,出,出,chū,V,1,1108,chū,出,,出|出[chu1]
L1-0049,出来,出來,chūlái,,1,1129,chū∥·lái,出来,,出來|出来[chu1 lai2]
L1-0050,出去,出去,chūqù,,1,1137,chū∥·qù,出去,,出去|出去[chu1 qu4]
L1-0051,穿,穿,chuān,V,1,1211,chuān,穿,,穿|穿[chuan1]
L1-0052,床,床,chuáng,N,1,1252,chuáng,床,,床|床[chuang2]
L1-0053,次,次,cì,M,1,1313,cì,次（量）,,次|次[ci4]
L1-0054,从,從,cóng,Prep,1,1329,cóng,从,,從|从[cong2]
L1-0055,错,錯,cuò,Adj/N,1,1386,cuò,错,,錯|错[cuo4]
L1-0056,打,打,dǎ,V,1,1407,dǎ,打（动）,,打|打[da3]
L1-0057,打车,打車,dǎchē,,1,1413,dǎ∥chē,打车,,打車|打车[da3 che1]
L1-0058,打电话,打電話,dǎ diànhuà,,1,1415,dǎ diànhuà,打电话,,打電話|打电话[da3 dian4 hua4]
L1-0059,打开,打開,dǎkāi,,1,1426,dǎ∥kāi,打开,,打開|打开[da3 kai1]
